folio,material_id,material,familia,unidad,proveedor_id,proveedor,origen,distancia_km,pad_id,pad,operadora,mes,fecha_orden,fecha_plan,fecha_real,lead_plan_dias,lead_real_dias,retraso_dias,cant_plan,cant_real,costo_material_usd,costo_flete_usd,costo_demora_usd,estado
ENV-00102,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-02,Bandurria Sur,YPF,2025-04,2025-04-11,2025-04-14,2025-04-14,3,3,0,9000,8972.0,672900.0,245330.0,0,OTIF
ENV-00103,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2025-04,2025-04-11,2025-04-13,2025-04-13,2,2,0,9000,7390.0,554250.0,172491.0,0,Incompleto
ENV-00104,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-06,Bajada del Palo,Vista,2025-04,2025-04-11,2025-04-17,2025-04-17,6,6,0,9000,8924.2,669315.0,566026.0,0,OTIF
ENV-00105,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-05,Rincon La Ceniza,Shell,2025-04,2025-04-11,2025-04-21,2025-04-21,10,10,0,9000,8940.4,670530.0,1129071.0,0,OTIF
ENV-00106,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2025-04,2025-04-11,2025-04-18,2025-04-23,7,12,5,9000,9080.7,835424.0,653483.0,1287750,Demorado
ENV-00107,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-04,Fortin de Piedra,Tecpetrol,2025-04,2025-04-11,2025-04-18,2025-04-18,7,7,0,1233.5,1228.3,113004.0,91774.0,0,OTIF
ENV-00108,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-11,Aguada Federal,Wintershall,2025-04,2025-04-20,2025-04-28,2025-04-28,8,8,0,9000,8984.8,826602.0,827913.0,0,OTIF
ENV-00109,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-04,2025-04-20,2025-04-27,2025-04-27,7,7,0,9000,8981.8,826326.0,644705.0,0,OTIF
ENV-00110,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2025-04,2025-04-20,2025-04-27,2025-04-27,7,7,0,9000,8927.4,821321.0,791494.0,0,OTIF
ENV-00111,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-04,2025-04-20,2025-04-25,2025-04-25,5,5,0,9000,9078.1,835185.0,646627.0,0,OTIF
ENV-00112,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-04,2025-04-20,2025-04-27,2025-04-27,7,7,0,9000,8926.2,821210.0,592510.0,0,OTIF
ENV-00113,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-04,Fortin de Piedra,Tecpetrol,2025-04,2025-04-20,2025-04-29,2025-04-28,9,8,-1,4440.1,4474.1,335558.0,429493.0,0,OTIF
ENV-00114,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-09,Los Toldos,ExxonMobil,2025-04,2025-04-29,2025-05-06,2025-05-06,7,7,0,9000,9047.5,678562.0,816004.0,0,OTIF
ENV-00115,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-04,2025-04-29,2025-05-05,2025-05-04,6,5,-1,9000,9047.6,678570.0,585345.0,0,OTIF
ENV-00116,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-11,Aguada Federal,Wintershall,2025-04,2025-04-29,2025-05-07,2025-05-07,8,8,0,9000,8971.0,672825.0,1132329.0,0,OTIF
ENV-00117,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-04,Fortin de Piedra,Tecpetrol,2025-04,2025-04-29,2025-05-03,2025-05-04,4,5,1,9000,9054.7,833032.0,229815.0,256700,Demorado
ENV-00118,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-09,Los Toldos,ExxonMobil,2025-04,2025-04-29,2025-05-05,2025-05-05,6,6,0,9000,9021.0,676575.0,658741.0,0,OTIF
ENV-00119,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-09,Los Toldos,ExxonMobil,2025-04,2025-04-29,2025-05-08,2025-05-08,9,9,0,1620.4,1387.6,127659.0,117840.0,0,Incompleto
ENV-00120,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-05,Rincon La Ceniza,Shell,2025-05,2025-05-09,2025-05-16,2025-05-16,7,7,0,9000,9049.7,678728.0,625362.0,0,OTIF
ENV-00121,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-10,Cruz de Lorena,Shell,2025-05,2025-05-09,2025-05-11,2025-05-11,2,2,0,9000,8978.4,826013.0,242635.0,0,OTIF
ENV-00122,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-05,2025-05-09,2025-05-14,2025-05-15,5,6,1,9000,9034.3,677572.0,601748.0,255850,Demorado
ENV-00123,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-08,Aguada Pichana,Total,2025-05,2025-05-09,2025-05-13,2025-05-13,4,4,0,9000,9029.2,677190.0,229416.0,0,OTIF
ENV-00124,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-05,2025-05-09,2025-05-16,2025-05-16,7,7,0,9000,9039.8,831662.0,633200.0,0,OTIF
ENV-00125,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-10,Cruz de Lorena,Shell,2025-05,2025-05-09,2025-05-11,2025-05-11,2,2,0,1136.2,1146.2,105450.0,31915.0,0,OTIF
ENV-00126,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-12,Coiron Amargo,Pan American,2025-05,2025-05-19,2025-05-23,2025-05-23,4,4,0,9000,9078.1,680858.0,244296.0,0,OTIF
ENV-00127,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-05,2025-05-19,2025-05-25,2025-05-25,6,6,0,9000,8962.3,824532.0,580820.0,0,OTIF
ENV-00128,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-06,Bajada del Palo,Vista,2025-05,2025-05-19,2025-05-23,2025-05-23,4,4,0,9000,9006.9,828635.0,248945.0,0,OTIF
ENV-00129,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-03,La Amarga Chica,YPF,2025-05,2025-05-19,2025-05-23,2025-05-23,4,4,0,9000,8584.9,643868.0,203893.0,0,Incompleto
ENV-00130,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-05,2025-05-19,2025-05-25,2025-05-24,6,5,-1,8774.3,8687.5,799250.0,596858.0,0,OTIF
ENV-00131,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-07,El Trapial,Chevron,2025-05,2025-05-29,2025-06-07,2025-06-07,9,9,0,9000,8961.4,824449.0,933381.0,0,OTIF
ENV-00132,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2025-05,2025-05-29,2025-06-02,2025-06-02,4,4,0,9000,8609.9,645742.0,213655.0,0,Incompleto
ENV-00133,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-01,Loma Campana,YPF,2025-05,2025-05-29,2025-06-01,2025-06-01,3,3,0,9000,8962.1,824513.0,203721.0,0,OTIF
ENV-00134,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-05,2025-05-29,2025-06-04,2025-06-04,6,6,0,9000,8998.9,674918.0,669799.0,0,OTIF
ENV-00135,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-08,Aguada Pichana,Total,2025-05,2025-05-29,2025-05-31,2025-05-31,2,2,0,9000,9026.7,830456.0,238980.0,0,OTIF
ENV-00136,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-06,Bajada del Palo,Vista,2025-05,2025-05-29,2025-06-05,2025-06-05,7,7,0,2094.6,2100.4,193237.0,139757.0,0,OTIF
ENV-00137,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-06,Bajada del Palo,Vista,2025-06,2025-06-08,2025-06-16,2025-06-16,8,8,0,9000,8968.2,672615.0,787328.0,0,OTIF
ENV-00138,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-04,Fortin de Piedra,Tecpetrol,2025-06,2025-06-08,2025-06-14,2025-06-14,6,6,0,9000,8912.1,819913.0,625723.0,0,OTIF
ENV-00139,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-01,Loma Campana,YPF,2025-06,2025-06-08,2025-06-11,2025-06-11,3,3,0,9000,9071.1,680332.0,239212.0,0,OTIF
ENV-00140,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-06,2025-06-08,2025-06-14,2025-06-14,6,6,0,9000,8937.6,822259.0,640013.0,0,OTIF
ENV-00141,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-07,El Trapial,Chevron,2025-06,2025-06-08,2025-06-17,2025-06-17,9,9,0,9000,9032.5,830990.0,856473.0,0,OTIF
ENV-00142,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-09,Los Toldos,ExxonMobil,2025-06,2025-06-08,2025-06-12,2025-06-11,4,3,-1,2188.5,2169.3,199576.0,55260.0,0,OTIF
ENV-00143,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-10,Cruz de Lorena,Shell,2025-06,2025-06-19,2025-06-26,2025-06-26,7,7,0,9000,8947.0,671025.0,846014.0,0,OTIF
ENV-00144,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-09,Los Toldos,ExxonMobil,2025-06,2025-06-19,2025-06-24,2025-06-24,5,5,0,9000,8920.4,820677.0,600948.0,0,OTIF
ENV-00145,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-12,Coiron Amargo,Pan American,2025-06,2025-06-19,2025-06-22,2025-06-21,3,2,-1,9000,8923.1,669232.0,221546.0,0,OTIF
ENV-00146,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-09,Los Toldos,ExxonMobil,2025-06,2025-06-19,2025-06-21,2025-06-21,2,2,0,9000,8942.4,670680.0,207975.0,0,OTIF
ENV-00147,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-12,Coiron Amargo,Pan American,2025-06,2025-06-19,2025-06-27,2025-06-27,8,8,0,9000,9073.2,834734.0,819784.0,0,OTIF
ENV-00148,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2025-06,2025-06-19,2025-06-23,2025-06-22,4,3,-1,2573.4,2567.9,192592.0,59758.0,0,OTIF
ENV-00149,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-01,Loma Campana,YPF,2025-06,2025-06-30,2025-07-09,2025-07-09,9,9,0,9000,8978.3,673372.0,973357.0,0,OTIF
ENV-00150,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-03,La Amarga Chica,YPF,2025-06,2025-06-30,2025-07-07,2025-07-07,7,7,0,9000,9055.7,833124.0,826408.0,0,OTIF
ENV-00151,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-01,Loma Campana,YPF,2025-06,2025-06-30,2025-07-02,2025-07-04,2,4,2,9000,9031.0,677325.0,246671.0,511700,Demorado
ENV-00152,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-01,Loma Campana,YPF,2025-06,2025-06-30,2025-07-06,2025-07-06,6,6,0,9000,8920.2,820658.0,606416.0,0,OTIF
ENV-00153,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-06,2025-06-30,2025-07-07,2025-07-07,7,7,0,9000,8964.3,824716.0,561771.0,0,OTIF
ENV-00154,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-04,Fortin de Piedra,Tecpetrol,2025-06,2025-06-30,2025-07-03,2025-07-03,3,3,0,3091.7,3106.2,285770.0,73094.0,0,OTIF
ENV-00155,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-09,Los Toldos,ExxonMobil,2025-07,2025-07-11,2025-07-13,2025-07-13,2,2,0,9000,9051.4,832729.0,219776.0,0,OTIF
ENV-00156,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-07,2025-07-11,2025-07-17,2025-07-17,6,6,0,9000,8950.6,823455.0,655310.0,0,OTIF
ENV-00157,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2025-07,2025-07-11,2025-07-18,2025-07-18,7,7,0,9000,8979.9,673492.0,577410.0,0,OTIF
ENV-00158,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-07,2025-07-11,2025-07-17,2025-07-17,6,6,0,9000,8958.3,824164.0,631800.0,0,OTIF
ENV-00159,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2025-07,2025-07-11,2025-07-20,2025-07-20,9,9,0,8490.4,8553.1,641482.0,765522.0,0,OTIF
ENV-00160,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-01,Loma Campana,YPF,2025-07,2025-07-22,2025-07-30,2025-07-29,8,7,-1,9000,8996.2,674715.0,978363.0,0,OTIF
ENV-00161,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-04,Fortin de Piedra,Tecpetrol,2025-07,2025-07-22,2025-07-29,2025-07-29,7,7,0,9000,9006.1,828561.0,810823.0,0,OTIF
ENV-00162,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-09,Los Toldos,ExxonMobil,2025-07,2025-07-22,2025-07-28,2025-07-28,6,6,0,9000,9061.2,833630.0,671154.0,0,OTIF
ENV-00163,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2025-07,2025-07-22,2025-07-29,2025-07-29,7,7,0,9000,8046.6,603495.0,556601.0,0,Incompleto
ENV-00164,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-05,Rincon La Ceniza,Shell,2025-07,2025-07-22,2025-07-24,2025-07-24,2,2,0,9000,8999.9,674992.0,235058.0,0,OTIF
ENV-00165,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-05,Rincon La Ceniza,Shell,2025-07,2025-07-22,2025-07-26,2025-07-26,4,4,0,928.5,934.0,85928.0,21852.0,0,OTIF
ENV-00166,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-08,Aguada Pichana,Total,2025-08,2025-08-01,2025-08-05,2025-08-05,4,4,0,9000,9061.0,679575.0,207704.0,0,OTIF
ENV-00167,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-01,Loma Campana,YPF,2025-08,2025-08-01,2025-08-04,2025-08-04,3,3,0,9000,7431.1,557332.0,176363.0,0,Incompleto
ENV-00168,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-01,Loma Campana,YPF,2025-08,2025-08-01,2025-08-10,2025-08-09,9,8,-1,9000,8912.1,819913.0,833090.0,0,OTIF
ENV-00169,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-05,Rincon La Ceniza,Shell,2025-08,2025-08-01,2025-08-08,2025-08-08,7,7,0,9000,9073.8,680535.0,563537.0,0,OTIF
ENV-00170,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-08,2025-08-01,2025-08-06,2025-08-06,5,5,0,9000,9053.1,678982.0,558741.0,0,OTIF
ENV-00171,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-08,Aguada Pichana,Total,2025-08,2025-08-01,2025-08-11,2025-08-11,10,10,0,2107.8,2114.3,158572.0,262392.0,0,OTIF
ENV-00172,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-02,Bandurria Sur,YPF,2025-08,2025-08-11,2025-08-14,2025-08-14,3,3,0,9000,9036.5,831358.0,207494.0,0,OTIF
ENV-00173,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2025-08,2025-08-11,2025-08-15,2025-08-15,4,4,0,9000,9075.4,834937.0,215985.0,0,OTIF
ENV-00174,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-12,Coiron Amargo,Pan American,2025-08,2025-08-11,2025-08-20,2025-08-23,9,12,3,9000,9011.4,829049.0,932420.0,765000,Demorado
ENV-00175,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-06,Bajada del Palo,Vista,2025-08,2025-08-11,2025-08-19,2025-08-19,8,8,0,9000,8981.7,673628.0,939267.0,0,OTIF
ENV-00176,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-04,Fortin de Piedra,Tecpetrol,2025-08,2025-08-11,2025-08-18,2025-08-18,7,7,0,9000,8935.2,822038.0,671710.0,0,OTIF
ENV-00177,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-09,Los Toldos,ExxonMobil,2025-08,2025-08-11,2025-08-13,2025-08-14,2,3,1,1514.5,1517.7,139628.0,39460.0,43350,Demorado
ENV-00178,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-06,Bajada del Palo,Vista,2025-08,2025-08-22,2025-08-31,2025-08-31,9,9,0,9000,8974.0,673050.0,913603.0,0,OTIF
ENV-00179,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-11,Aguada Federal,Wintershall,2025-08,2025-08-22,2025-08-29,2025-08-29,7,7,0,9000,8923.2,820934.0,786793.0,0,OTIF
ENV-00180,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2025-08,2025-08-22,2025-08-29,2025-08-29,7,7,0,9000,9079.7,680978.0,609573.0,0,OTIF
ENV-00181,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-02,Bandurria Sur,YPF,2025-08,2025-08-22,2025-08-24,2025-08-24,2,2,0,9000,8983.4,673755.0,203406.0,0,OTIF
ENV-00182,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-02,Bandurria Sur,YPF,2025-08,2025-08-22,2025-08-28,2025-08-30,6,8,2,9000,9040.5,831726.0,622035.0,511700,Demorado
ENV-00183,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-04,Fortin de Piedra,Tecpetrol,2025-08,2025-08-22,2025-09-01,2025-08-31,10,9,-1,587.7,587.6,44070.0,61399.0,0,OTIF
ENV-00184,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-07,El Trapial,Chevron,2025-09,2025-09-01,2025-09-09,2025-09-09,8,8,0,9000,9039.8,831662.0,838781.0,0,OTIF
ENV-00185,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-08,Aguada Pichana,Total,2025-09,2025-09-01,2025-09-08,2025-09-08,7,7,0,9000,9021.6,676620.0,893601.0,0,OTIF
ENV-00186,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-06,Bajada del Palo,Vista,2025-09,2025-09-01,2025-09-08,2025-09-07,7,6,-1,9000,9080.5,835406.0,576837.0,0,OTIF
ENV-00187,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2025-09,2025-09-01,2025-09-07,2025-09-07,6,6,0,9000,9050.8,832674.0,591698.0,0,OTIF
ENV-00188,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2025-09,2025-09-01,2025-09-06,2025-09-06,5,5,0,8579.8,8524.9,784291.0,612872.0,0,OTIF
ENV-00189,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-09,2025-09-10,2025-09-17,2025-09-17,7,7,0,9000,8922.4,820861.0,651933.0,0,OTIF
ENV-00190,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2025-09,2025-09-10,2025-09-12,2025-09-12,2,2,0,9000,9038.7,831560.0,242641.0,0,OTIF
ENV-00191,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-10,Cruz de Lorena,Shell,2025-09,2025-09-10,2025-09-17,2025-09-17,7,7,0,9000,9034.5,831174.0,619575.0,0,OTIF
ENV-00192,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-06,Bajada del Palo,Vista,2025-09,2025-09-10,2025-09-12,2025-09-12,2,2,0,9000,9026.5,676988.0,205473.0,0,OTIF
ENV-00193,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-11,Aguada Federal,Wintershall,2025-09,2025-09-10,2025-09-19,2025-09-19,9,9,0,9000,7595.9,698823.0,877063.0,0,Incompleto
ENV-00194,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-10,Cruz de Lorena,Shell,2025-09,2025-09-10,2025-09-18,2025-09-18,8,8,0,312.2,313.4,23505.0,26738.0,0,OTIF
ENV-00195,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-08,Aguada Pichana,Total,2025-09,2025-09-18,2025-09-27,2025-09-27,9,9,0,9000,9079.3,680948.0,964487.0,0,OTIF
ENV-00196,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2025-09,2025-09-18,2025-09-25,2025-09-25,7,7,0,9000,9035.4,677655.0,589579.0,0,OTIF
ENV-00197,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-12,Coiron Amargo,Pan American,2025-09,2025-09-18,2025-09-23,2025-09-23,5,5,0,9000,8939.6,670470.0,671373.0,0,OTIF
ENV-00198,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-09,2025-09-18,2025-09-24,2025-09-24,6,6,0,9000,8982.9,673718.0,568191.0,0,OTIF
ENV-00199,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-07,El Trapial,Chevron,2025-09,2025-09-18,2025-09-25,2025-09-25,7,7,0,8862.6,8850.1,814209.0,733318.0,0,OTIF
ENV-00200,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-05,Rincon La Ceniza,Shell,2025-09,2025-09-27,2025-10-04,2025-10-04,7,7,0,9000,8968.7,672652.0,603710.0,0,OTIF
ENV-00201,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2025-09,2025-09-27,2025-10-04,2025-10-04,7,7,0,9000,8973.4,825553.0,604008.0,0,OTIF
ENV-00202,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2025-09,2025-09-27,2025-10-04,2025-10-04,7,7,0,9000,8952.9,823667.0,557352.0,0,OTIF
ENV-00203,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2025-09,2025-09-27,2025-10-03,2025-10-03,6,6,0,9000,8997.6,827779.0,616299.0,0,OTIF
